temp_max,temp_min,temp_avg,hum_max,hum_min,hum_avg,cur_time,serial,status,mac
27,22.9,23.78,57.1,56.3,56.46,2020-09-09T20:07:09.000Z,4090,22,00:a0:c6:00:00:00
23,22.9,22.98,56.3,56.2,56.22,2020-09-09T20:07:22.000Z,4090,21,00:a0:c6:00:00:00
23.1,23,23.06,56.2,56.2,56.2,2020-09-09T20:07:33.000Z,4090,21,00:a0:c6:00:00:00
23.2,23.1,23.14,56.1,56,56.08,2020-09-09T20:07:43.000Z,4090,21,00:a0:c6:00:00:00
23.2,23.2,23.2,56.1,56.1,56.1,2020-09-09T20:07:53.000Z,4090,21,00:a0:c6:00:00:00
23.3,23.2,23.28,56,55.9,55.96,2020-09-09T20:08:06.000Z,4090,21,00:a0:c6:00:00:00
23.4,23.3,23.38,55.9,55.8,55.82,2020-09-09T20:08:19.000Z,4090,21,00:a0:c6:00:00:00
23.6,23.4,23.5,55.7,55.5,55.62,2020-09-09T20:08:42.000Z,4090,21,00:a0:c6:00:00:00
23.7,23.6,23.66,55.4,55.3,55.36,2020-09-09T20:08:52.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.7,23.76,55.2,55,55.14,2020-09-09T20:09:03.000Z,4090,21,00:a0:c6:00:00:00
23.8,23.4,23.52,54.7,54.2,54.3,2020-09-09T20:18:07.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,54.2,54.2,54.2,2020-09-09T20:18:17.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,54.2,54.2,54.2,2020-09-09T20:18:28.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,54.2,54.2,54.2,2020-09-09T20:18:38.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,54.2,54.2,54.2,2020-09-09T20:18:49.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,54.2,54.1,54.14,2020-09-09T20:18:59.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,54.1,54.1,54.1,2020-09-09T20:19:09.000Z,4090,21,00:a0:c6:00:00:00
23.5,23.5,23.5,54.2,54,54.08,2020-09-09T20:19:22.000Z,4090,21,00:a0:c6:00:00:00
23.6,23.5,23.54,54,54,54,2020-09-09T20:19:32.000Z,4090,21,00:a0:c6:00:00:00
23.5,23.4,23.42,53.9,53.8,53.82,2020-09-09T20:22:34.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,53.8,53.8,53.8,2020-09-09T20:22:44.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,53.7,53.7,53.7,2020-09-09T20:22:57.000Z,4090,22,00:a0:c6:00:00:00
23.4,23.4,23.4,53.7,53.7,53.7,2020-09-09T20:23:07.000Z,4090,21,00:a0:c6:00:00:00
23.6,23.4,23.5,53.7,53.6,53.62,2020-09-09T20:23:23.000Z,4090,21,00:a0:c6:00:00:00
23.6,23.6,23.6,53.6,53.5,53.56,2020-09-09T20:23:33.000Z,4090,21,00:a0:c6:00:00:00
23.7,23.6,23.64,53.5,53.5,53.5,2020-09-09T20:23:43.000Z,4090,21,00:a0:c6:00:00:00
23.7,23.7,23.7,53.4,53.4,53.4,2020-09-09T20:23:54.000Z,4090,21,00:a0:c6:00:00:00
23.7,23.7,23.7,53.4,53.2,53.28,2020-09-09T20:24:04.000Z,4090,22,00:a0:c6:00:00:00
23.8,23.7,23.72,53.2,52.8,52.94,2020-09-09T20:25:31.000Z,4090,22,00:a0:c6:00:00:00
23.7,23.7,23.7,52.7,52.7,52.7,2020-09-09T20:26:03.000Z,4090,22,00:a0:c6:00:00:00
23.8,23.7,23.74,52.7,52.7,52.7,2020-09-09T20:26:18.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.8,23.82,52.7,52.6,52.68,2020-09-09T20:26:29.000Z,4090,21,00:a0:c6:00:00:00
23.9,23.9,23.9,52.6,52.5,52.58,2020-09-09T20:26:42.000Z,4090,21,00:a0:c6:00:00:00
24,24,24,52.6,52.5,52.52,2020-09-09T20:26:52.000Z,4090,21,00:a0:c6:00:00:00
24.1,24,24.06,52.5,52.4,52.42,2020-09-09T20:27:05.000Z,4090,21,00:a0:c6:00:00:00
24.2,24.1,24.16,52.4,52.2,52.3,2020-09-09T20:27:15.000Z,4090,21,00:a0:c6:00:00:00
24.3,24.2,24.26,52.2,52.1,52.16,2020-09-09T20:27:28.000Z,4090,21,00:a0:c6:00:00:00
24.4,24.4,24.4,52,51.8,51.92,2020-09-09T20:27:44.000Z,4090,21,00:a0:c6:00:00:00
24.5,24.4,24.48,51.8,51.7,51.74,2020-09-09T20:27:54.000Z,4090,21,00:a0:c6:00:00:00
24.6,24.6,24.6,51.7,51.5,51.58,2020-09-09T20:28:04.000Z,4090,21,00:a0:c6:00:00:00
24.7,24.7,24.7,51.5,51.4,51.46,2020-09-09T20:28:15.000Z,4090,21,00:a0:c6:00:00:00
