temp_max,temp_min,temp_avg,hum_max,hum_min,hum_avg,cur_time,serial,status,mac
26.1,26.1,26.1,65.2,65.1,65.12,2020-09-14T15:36:48.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.1,26.14,65,65,65,2020-09-14T15:37:03.000Z,4090,33,00:a0:c6:00:00:00
26.3,26.2,26.22,66.3,65,65.56,2020-09-14T15:37:14.000Z,4090,33,00:a0:c6:00:00:00
26.4,26.3,26.32,69.6,67.7,68.54,2020-09-14T15:37:32.000Z,4090,33,00:a0:c6:00:00:00
26.5,26.4,26.44,71.7,70,70.78,2020-09-14T15:37:42.000Z,4090,33,00:a0:c6:00:00:00
26.5,26.5,26.5,74.5,72.3,73.5,2020-09-14T15:37:55.000Z,4090,33,00:a0:c6:00:00:00
26.7,26.6,26.62,75.9,74.7,75.3,2020-09-14T15:38:10.000Z,4090,33,00:a0:c6:00:00:00
26.8,26.7,26.72,77.2,76.2,76.74,2020-09-14T15:38:20.000Z,4090,32,00:a0:c6:00:00:00
26.9,26.8,26.84,78.9,77.4,78.16,2020-09-14T15:38:33.000Z,4090,32,00:a0:c6:00:00:00
27,26.9,26.92,78.8,77.2,77.9,2020-09-14T15:38:44.000Z,4090,32,00:a0:c6:00:00:00
27.1,27,27.04,76.9,74.7,75.66,2020-09-14T15:38:54.000Z,4090,32,00:a0:c6:00:00:00
27.2,27.1,27.16,74.1,70.9,72.2,2020-09-14T15:39:12.000Z,4090,33,00:a0:c6:00:00:00
27.4,27.3,27.32,70.6,69.3,69.64,2020-09-14T15:39:25.000Z,4090,33,00:a0:c6:00:00:00
27.4,27.4,27.4,71.4,69.7,70.64,2020-09-14T15:39:35.000Z,4090,33,00:a0:c6:00:00:00
27.6,27.4,27.52,73.9,71.8,72.98,2020-09-14T15:39:48.000Z,4090,33,00:a0:c6:00:00:00
27.7,27.6,27.62,75.2,74,74.68,2020-09-14T15:40:03.000Z,4090,33,00:a0:c6:00:00:00
27.8,27.7,27.76,76.2,75.3,75.8,2020-09-14T15:40:17.000Z,4090,33,00:a0:c6:00:00:00
27.9,27.8,27.86,76.6,75.9,76.28,2020-09-14T15:40:27.000Z,4090,33,00:a0:c6:00:00:00
28,27.9,27.96,77.1,76.5,76.84,2020-09-14T15:40:42.000Z,4090,32,00:a0:c6:00:00:00
28.1,28,28.04,77.7,76.9,77.34,2020-09-14T15:40:53.000Z,4090,22,00:a0:c6:00:00:00
28,28,28,76.8,72.5,74.56,2020-09-14T15:41:08.000Z,4090,22,00:a0:c6:00:00:00
28.1,28,28.06,72.1,68.9,70.12,2020-09-14T15:41:20.000Z,4090,23,00:a0:c6:00:00:00
28.1,28.1,28.1,68.5,66.8,67.36,2020-09-14T15:41:31.000Z,4090,23,00:a0:c6:00:00:00
28.1,28.1,28.1,69.2,67.5,68.44,2020-09-14T15:41:41.000Z,4090,23,00:a0:c6:00:00:00
28.1,28.1,28.1,70.5,69.5,70,2020-09-14T15:41:51.000Z,4090,23,00:a0:c6:00:00:00
28.1,28.1,28.1,71.5,70.7,71.24,2020-09-14T15:42:02.000Z,4090,23,00:a0:c6:00:00:00
28.1,28.1,28.1,72.1,70.4,71.48,2020-09-14T15:42:18.000Z,4090,23,00:a0:c6:00:00:00
28.1,28.1,28.1,71.2,69.6,70.4,2020-09-14T15:42:31.000Z,4090,23,00:a0:c6:00:00:00
28.1,28,28.02,74.3,72.1,73.24,2020-09-14T15:42:46.000Z,4090,23,00:a0:c6:00:00:00
28,28,28,75.8,74.4,75.12,2020-09-14T15:42:59.000Z,4090,23,00:a0:c6:00:00:00
28,28,28,75.7,74.8,75.22,2020-09-14T15:43:10.000Z,4090,23,00:a0:c6:00:00:00
28,28,28,75.5,74.9,75.28,2020-09-14T15:43:20.000Z,4090,23,00:a0:c6:00:00:00
28,28,28,76.3,75.9,76.04,2020-09-14T15:43:33.000Z,4090,23,00:a0:c6:00:00:00
28,27.9,27.92,76.1,75.3,75.74,2020-09-14T15:43:43.000Z,4090,23,00:a0:c6:00:00:00
27.9,27.5,27.58,76.3,72.7,74.08,2020-09-14T15:45:52.000Z,4090,22,00:a0:c6:00:00:00
27.5,27.4,27.48,72.3,69.9,70.9,2020-09-14T15:46:05.000Z,4090,21,00:a0:c6:00:00:00
27.6,27.5,27.58,69.2,66.7,68.14,2020-09-14T15:46:18.000Z,4090,12,00:a0:c6:00:00:00
27.5,27.4,27.46,65.6,60.3,62.42,2020-09-14T15:46:34.000Z,4090,12,00:a0:c6:00:00:00
27.4,27.4,27.4,59.9,58.9,59.38,2020-09-14T15:46:47.000Z,4090,12,00:a0:c6:00:00:00
27.3,27.3,27.3,58.7,58.4,58.56,2020-09-14T15:46:57.000Z,4090,12,00:a0:c6:00:00:00
27.2,27.2,27.2,58.4,58.2,58.24,2020-09-14T15:47:07.000Z,4090,12,00:a0:c6:00:00:00
27.1,27.1,27.1,58.2,58.2,58.2,2020-09-14T15:47:20.000Z,4090,12,00:a0:c6:00:00:00
27,26.9,26.96,58.2,58.1,58.18,2020-09-14T15:47:36.000Z,4090,12,00:a0:c6:00:00:00
26.9,26.8,26.88,58.3,58.2,58.22,2020-09-14T15:47:47.000Z,4090,12,00:a0:c6:00:00:00
26.9,26.8,26.82,58.5,58.3,58.38,2020-09-14T15:48:02.000Z,4090,12,00:a0:c6:00:00:00
26.7,26.7,26.7,58.6,58.4,58.52,2020-09-14T15:48:13.000Z,4090,12,00:a0:c6:00:00:00
26.6,26.6,26.6,58.7,58.6,58.66,2020-09-14T15:48:23.000Z,4090,12,00:a0:c6:00:00:00
26.6,26.4,26.5,59,58.8,58.88,2020-09-14T15:48:41.000Z,4090,22,00:a0:c6:00:00:00
26.4,26.4,26.4,59.3,59,59.16,2020-09-14T15:48:52.000Z,4090,22,00:a0:c6:00:00:00
26.4,26.3,26.34,59.5,59.3,59.4,2020-09-14T15:49:02.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.3,26.3,59.7,59.6,59.66,2020-09-14T15:49:12.000Z,4090,22,00:a0:c6:00:00:00
26.3,26.2,26.28,60,59.8,59.86,2020-09-14T15:49:23.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,60.1,59.9,60.02,2020-09-14T15:49:34.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,60.3,60.1,60.22,2020-09-14T15:49:45.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,60.5,60.3,60.42,2020-09-14T15:49:57.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.2,26.2,60.7,60.6,60.62,2020-09-14T15:50:08.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.1,26.18,60.8,60.7,60.76,2020-09-14T15:50:18.000Z,4090,22,00:a0:c6:00:00:00
26.2,26.1,26.14,60.9,60.8,60.84,2020-09-14T15:50:28.000Z,4090,31,00:a0:c6:00:00:00
26.2,26.2,26.2,60.9,60.9,60.9,2020-09-14T15:50:41.000Z,4090,31,00:a0:c6:00:00:00
26.3,26.3,26.3,61,60.9,60.96,2020-09-14T15:50:54.000Z,4090,31,00:a0:c6:00:00:00
26.4,26.4,26.4,61,60.9,60.94,2020-09-14T15:51:07.000Z,4090,31,00:a0:c6:00:00:00
26.5,26.4,26.44,60.9,60.8,60.82,2020-09-14T15:51:18.000Z,4090,31,00:a0:c6:00:00:00
26.5,26.5,26.5,60.7,60.6,60.66,2020-09-14T15:51:28.000Z,4090,31,00:a0:c6:00:00:00
26.6,26.5,26.58,60.6,60.4,60.5,2020-09-14T15:51:41.000Z,4090,31,00:a0:c6:00:00:00
26.8,26.7,26.74,60.4,60.2,60.26,2020-09-14T15:51:54.000Z,4090,31,00:a0:c6:00:00:00
26.9,26.8,26.82,60.1,59.9,59.98,2020-09-14T15:52:07.000Z,4090,31,00:a0:c6:00:00:00
27,26.9,26.92,59.9,59.7,59.78,2020-09-14T15:52:17.000Z,4090,31,00:a0:c6:00:00:00
27.1,27,27.04,59.7,59.5,59.6,2020-09-14T15:52:28.000Z,4090,31,00:a0:c6:00:00:00
27.2,27.1,27.12,59.5,59.3,59.38,2020-09-14T15:52:41.000Z,4090,31,00:a0:c6:00:00:00
27.3,27.2,27.24,59.2,59,59.08,2020-09-14T15:52:51.000Z,4090,31,00:a0:c6:00:00:00
27.4,27.3,27.38,58.8,58.7,58.76,2020-09-14T15:53:04.000Z,4090,31,00:a0:c6:00:00:00
27.5,27.4,27.46,58.6,58.4,58.48,2020-09-14T15:53:15.000Z,4090,31,00:a0:c6:00:00:00
27.6,27.5,27.58,58.4,58.2,58.32,2020-09-14T15:53:25.000Z,4090,31,00:a0:c6:00:00:00
27.7,27.6,27.66,58.2,57.8,58.02,2020-09-14T15:53:38.000Z,4090,31,00:a0:c6:00:00:00
27.8,27.8,27.8,57.8,57.6,57.7,2020-09-14T15:53:49.000Z,4090,31,00:a0:c6:00:00:00
27.9,27.8,27.88,57.5,57.3,57.42,2020-09-14T15:53:59.000Z,4090,31,00:a0:c6:00:00:00
28.1,27.9,28.02,57.3,56.8,57.06,2020-09-14T15:54:19.000Z,4090,21,00:a0:c6:00:00:00
28.1,28.1,28.1,56.8,56.3,56.54,2020-09-14T15:54:32.000Z,4090,12,00:a0:c6:00:00:00
28.1,28,28.08,56.1,55.6,55.86,2020-09-14T15:54:45.000Z,4090,12,00:a0:c6:00:00:00
28,28,28,55.6,55.4,55.46,2020-09-14T15:54:56.000Z,4090,12,00:a0:c6:00:00:00
28,27.9,27.92,55.3,55.2,55.22,2020-09-14T15:55:08.000Z,4090,12,00:a0:c6:00:00:00
27.9,27.8,27.86,55.3,55.2,55.22,2020-09-14T15:55:19.000Z,4090,12,00:a0:c6:00:00:00
27.8,27.7,27.78,55.3,55.3,55.3,2020-09-14T15:55:29.000Z,4090,12,00:a0:c6:00:00:00
27.7,27.6,27.68,55.4,55.3,55.34,2020-09-14T15:55:40.000Z,4090,12,00:a0:c6:00:00:00
27.6,27.5,27.58,55.5,55.4,55.44,2020-09-14T15:55:52.000Z,4090,12,00:a0:c6:00:00:00
27.6,27.5,27.52,55.8,55.6,55.7,2020-09-14T15:56:03.000Z,4090,12,00:a0:c6:00:00:00
27.4,27.3,27.36,56.3,55.9,56.12,2020-09-14T15:56:18.000Z,4090,12,00:a0:c6:00:00:00
