time,temp_avg_gap,hum_avg_gap,temp_max_min,temp_min_max,hum_max_min,hum_min_max,status,work
15,0.16,-1.34,0.3,0.1,-0.2,-2.5,32,1
15,0.14,-1.4,0.2,0.0,-0.2,-2.7,32,1
11,0.16,-1.02,0.3,0.1,-0.1,-1.8,32,1
10,0.08,-0.72,0.1,0.0,-0.2,-1.3,32,1
10,0.14,-0.54,0.2,0.1,0.0,-1.0,32,1
13,0.04,0.74,0.1,0.0,1.3,0.2,23,1
11,0.0,0.94,0.0,0.0,1.8,0.1,23,1
12,0.04,1.46,0.1,0.0,2.5,0.3,23,1
11,0.06,1.4,0.1,0.0,2.6,0.2,23,1
11,0.08,0.6,0.1,0.0,1.2,0.0,33,1
10,0.1,1.46,0.1,0.1,2.6,0.3,33,1
15,0.1,2.12,0.1,0.1,3.6,0.6,33,1
13,0.1,1.08,0.2,0.0,2.2,0.2,32,1
10,0.12,0.4,0.2,0.1,1.1,-0.4,32,1
11,0.08,-1.18,0.1,0.0,-0.2,-1.9,32,1
13,0.14,-1.7,0.3,0.1,-0.6,-2.8,32,1
10,0.12,-1.1,0.2,0.0,-0.2,-2.1,32,1
13,0.14,-1.2,0.2,0.0,-0.2,-2.1,32,1
10,0.12,-0.88,0.2,0.1,0.0,-1.8,32,1
10,0.08,-0.6,0.1,0.0,-0.1,-1.1,23,1
10,0.0,0.1,0.0,0.0,0.6,-0.4,23,1
15,0.0,1.96,0.0,0.0,3.1,0.2,23,1
11,0.0,1.62,0.0,0.0,3.3,0.3,23,1
10,0.06,0.68,0.1,0.0,1.3,0.2,23,1
10,-0.02,0.54,0.1,-0.1,0.9,0.2,23,1
13,0.04,0.54,0.1,-0.1,0.9,0.1,23,1
10,0.0,-0.22,0.0,0.0,0.2,-0.7,23,1
10,0.0,0.9,0.0,0.0,1.5,0.1,23,1
16,0.0,2.04,0.0,0.0,3.7,0.4,23,1
13,0.12,0.64,0.2,0.0,1.4,0.0,33,1
11,0.04,1.4,0.1,0.0,2.5,0.2,33,1
10,0.1,1.58,0.1,0.1,2.7,0.3,33,1
11,0.12,1.76,0.2,0.0,3.2,0.3,32,1
10,0.06,0.8,0.2,0.0,1.6,0.0,32,1
13,0.14,-1.14,0.3,0.0,-0.2,-2.0,32,1
16,0.14,-1.98,0.3,-0.1,-0.4,-3.3,32,1
13,0.14,-1.52,0.3,0.0,-0.3,-2.9,32,1
10,0.14,-1.16,0.3,0.0,-0.2,-2.1,32,1
11,0.12,-0.94,0.3,0.0,-0.2,-1.7,32,1
13,0.1,-0.6,0.2,0.0,-0.1,-1.1,33,1
11,0.0,0.94,0.0,0.0,1.3,0.2,23,1
10,0.0,1.16,0.0,0.0,2.3,0.2,23,1
13,0.0,1.18,0.0,0.0,2.0,0.3,23,1
10,0.04,0.98,0.1,0.0,1.5,0.3,23,1
11,0.0,0.94,0.1,-0.1,1.8,0.3,23,1
10,0.1,0.0,0.2,0.0,0.1,-0.1,32,1
10,0.1,-0.88,0.2,0.0,-0.2,-1.5,32,1
13,0.08,-1.86,0.1,0.0,-0.4,-3.2,32,1
10,0.12,-1.38,0.2,0.1,-0.1,-2.7,32,1
11,0.08,-0.92,0.1,0.0,-0.2,-1.9,32,1
10,0.1,-0.78,0.2,0.0,-0.1,-1.3,32,1
10,0.1,-0.66,0.2,0.0,-0.1,-1.2,33,1
13,0.1,-0.14,0.2,0.0,0.5,-0.8,33,1
11,0.12,1.28,0.2,0.1,2.1,0.3,33,1
